Model,Precision Level 0,Recall Level 0,F1 Level 0,Precision Level 1,Recall Level 1,F1 Level 1,Precision Level 2,Recall Level 2,F1 Level 2,Label Precision Level 0,Label Recall Level 0,Label F1 Level 0,Label Precision Level 1,Label Recall Level 1,Label F1 Level 1,Label Precision Level 2,Label Recall Level 2,Label F1 Level 2
Falcon_7B_8-bit,0.38009114755708207,0.5267900871927366,0.27442668511815527,0.10423361246135476,0.21244246576894912,0.09920367896184387,0.016866617097739782,0.07865869992939874,0.019472932399831007,0.65,0.65,0.65,0.325,0.65,0.4083333333333334,0.11006652624644615,0.55,0.1541682615629984
LLaMA2-Chat_13B_8-bit,0.4068846526573845,0.6228862808541475,0.36485395074136906,0.1010536821659048,0.16561838446872895,0.10323434237327027,0.040372041230797635,0.12402708764665285,0.043081870762871254,0.75,0.75,0.75,0.325,0.425,0.3416666666666667,0.12050724637681161,0.2333333333333333,0.12083333333333335
LLaMA2-Chat_7B_8-bit,0.3813404434834653,0.6468357112827705,0.35694452361362516,0.08250605179379711,0.07252691103496503,0.06588958498607711,0.0225,0.048840579710144924,0.03071238545669524,0.7,0.7,0.7,0.2,0.25,0.21666666666666665,0.05833333333333333,0.13333333333333333,0.08055555555555555
LLaMA2-Instruct_7B_8-bit,0.35693307451351886,0.6780554675134416,0.35576931374357396,0.14036488395104613,0.28676850129743037,0.15698522214880298,0.015543231275702351,0.06274881848342788,0.021233537519592362,0.75,0.75,0.75,0.3416666666666667,0.75,0.45,0.06758444327094212,0.4125,0.10945202578639113
LLaMA2_13B_8-bit,0.3765454936866047,0.5872774203489143,0.309214392930382,0.11950752413978127,0.18384620653166034,0.10948293870251533,0.0025604429138149005,0.022616108786610876,0.003475990514382055,0.75,0.75,0.75,0.29166666666666663,0.5,0.35,0.028096455973693823,0.2,0.046759259259259264
LLaMA2_7B_8-bit,0.39681871569676386,0.6364807666957153,0.3478141978826481,0.11997111048182593,0.2637272108912772,0.14576383579378932,0.027497820449449473,0.09521196330673615,0.03790683574454022,0.7,0.7,0.7,0.35833333333333334,0.5666666666666667,0.4,0.07408514492753622,0.35,0.1195566694514063
Mistral-Instruct_7B_8-bit,0.5062130526811552,0.5315177286656054,0.40461055431929854,0.1140225191943314,0.15898547906581872,0.08981930036571825,0.005730395076434386,0.02225,0.004623376623376623,0.85,0.85,0.85,0.525,0.625,0.55,0.21666666666666665,0.25,0.225
Mistral_7B_8-bit,0.38043782183109187,0.6464337693464943,0.39342879307355505,0.09689507600669774,0.19266721290478567,0.1020723254372029,0.013440328808625801,0.0821898777399505,0.01754510710600398,0.7,0.7,0.7,0.30833333333333335,0.65,0.4,0.0611709901351845,0.425,0.10257407407407408
Vicuna_13B_8-bit,0.35179947854734456,0.4895578305426865,0.2937446425319404,0.12152923662647626,0.16255629228693466,0.12133351431020512,0.03816022150867886,0.04044085443541966,0.03243002800386826,0.6,0.6,0.6,0.375,0.4333333333333334,0.39,0.08369565217391303,0.2,0.11481481481481481
Vicuna_7B_8-bit,0.40109771956940116,0.3564528583189898,0.25856748078914943,0.08022957618950258,0.07563021895004111,0.061093180127346755,0.044817351598173516,0.06443236714975845,0.04961152882205514,0.55,0.55,0.55,0.375,0.38333333333333336,0.3733333333333333,0.15,0.2,0.16666666666666666
WizardLM_13B_8-bit,0.2954848948155625,0.5125397089477931,0.24690628578019483,0.14973058366024444,0.14536021242446753,0.12343556776471461,0.023009893455098934,0.02186024263149324,0.02159972269162442,0.75,0.75,0.75,0.4083333333333333,0.55,0.45,0.07833333333333332,0.15,0.09999999999999999
WizardLM_7B_8-bit,0.37898818749927754,0.3600145202055795,0.23341976605185027,0.04560905383286458,0.05814518593390061,0.036981326360819085,0.010087719298245614,0.0,0.0,0.6,0.6,0.6,0.25,0.21666666666666665,0.22999999999999998,0.125,0.125,0.125
Zephyr_7B_8-bit,0.34197708398531873,0.49206460700518617,0.3121164541691151,0.09869310231829513,0.16708766125297717,0.1092199439269022,0.02247879973907371,0.030917874396135265,0.025313117996044826,0.7,0.7,0.7,0.4666666666666666,0.5833333333333333,0.49833333333333324,0.19916666666666666,0.275,0.21357142857142858
base-random,0.2671982577324693,0.3494523287738228,0.21113467677975453,0.019728802938258284,0.010828773413836411,0.013935675849223252,0.004433497536945813,0.004017857142857143,0.004215456674473069,0.55,0.55,0.55,0.3,0.3333333333333333,0.3066666666666667,0.11666666666666665,0.125,0.12
base-silent,0.4006474956825091,0.25,0.21595408920145606,0.0031506849315068495,0.0,0.0,0.0031506849315068495,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
gpt-3.5,0.43918346244814366,0.3944749531690141,0.33866212347827557,0.11694750369176314,0.10099951573015813,0.09540931982029924,0.04987032799389778,0.041090579710144924,0.034074074074074076,0.8,0.8,0.8,0.575,0.6166666666666667,0.575,0.35,0.3333333333333333,0.3283333333333333
